编号,公众号唯一ID,公众号名称,示例文章链接
1,MP_WXS_2399501768,工信微报,https://mp.weixin.qq.com/s/tkzb4cys8Ydzr99pAELplQ
2,MP_WXS_3070196162,国家发展改革委,https://mp.weixin.qq.com/s/X9Pm1O29ldJdHsAO2lrj1g
3,MP_WXS_3013134019,锐科技,https://mp.weixin.qq.com/s/QHhtkf9NrFOjjadyzGqr8A
4,MP_WXS_2397208721,腾讯高校合作,https://mp.weixin.qq.com/s/O0A7Zpy8joCGk0s4EJ58AQ
5,MP_WXS_3964405814,阿里云高校合作,https://mp.weixin.qq.com/s/9A_42J7281kDiauXt9D7hQ
6,MP_WXS_2391698189,中国计算机学会,https://mp.weixin.qq.com/s/kZHNq6vbTu2k04OSQskLaQ
7,MP_WXS_3081802927,中国电子学会,https://mp.weixin.qq.com/s/7r34lqz32Y5zShiBMeeFaw
8,MP_WXS_2398206135,中国人工智能学会,https://mp.weixin.qq.com/s/RZ0W43oqc73PJfDnfIOCGw
9,MP_WXS_3867528118,CSIG青年委员,https://mp.weixin.qq.com/s/vAXQ6GWdanv8ZQYXOmyjMA
10,MP_WXS_3287112543,弗雷赛斯,https://mp.weixin.qq.com/s/Pn_B_paO4cpkdVI6xJMn3Q
11,MP_WXS_3244818774,时代学者,https://mp.weixin.qq.com/s/Nufo_QOdxY5RS6D6noelhg
12,MP_WXS_3551655570,全国网络辟谣,https://mp.weixin.qq.com/s/qvOUoLgUPj6uYtcYg9TbjQ
13,MP_WXS_3926381517,北京国际科技创新中心,https://mp.weixin.qq.com/s/aao7iu1dwCXt41pAUM9nlA
14,MP_WXS_2396792233,创新创业中关村,https://mp.weixin.qq.com/s/gLaz63CWhVE5JgvI-8yAUQ
15,MP_WXS_3557709694,北京科协,https://mp.weixin.qq.com/s/OO3WnHOc9eBZ3ldBMBwbrw
16,MP_WXS_3252996058,北京城市公共空间,https://mp.weixin.qq.com/s/dDNnyga63IyTHUdWd4UNyg
17,MP_WXS_3013248753,北京经信,https://mp.weixin.qq.com/s/8-1XrMxyCQMvX7aNolo7qw
18,MP_WXS_3975465666,北京中关村学院,https://mp.weixin.qq.com/s/jkC_B99B1ZIuh1CjvSs2Jw
19,MP_WXS_3260713438,智源研究院,https://mp.weixin.qq.com/s/GIDlrUoXL2W5qm0IKE0Aqw
20,MP_WXS_3937224881,上海人工智能实验室,https://mp.weixin.qq.com/s/W8zyTrMTK-dBEwh5x-GHmQ
21,MP_WXS_3084380343,广东科技,https://mp.weixin.qq.com/s/Fn383e7D1S71zPnPW8rfzA
22,MP_WXS_3084765533,深圳工信,https://mp.weixin.qq.com/s/dJhKuwV1_eLc5HXL-BBpKg
23,MP_WXS_3097729809,创新南山,https://mp.weixin.qq.com/s/5j6yABYDDrvs4msdvXYR2g
24,MP_WXS_3088672914,浙江发布,https://mp.weixin.qq.com/s/A3Td5-jCMPpqK-VttZmv-g
25,MP_WXS_2391174185,创新浙江,https://mp.weixin.qq.com/s/3vK98VYHwBAaiaMyjc5dwA
26,MP_WXS_3070169942,浙江省新材料产业协会,https://mp.weixin.qq.com/s/_A7iHeBe27dtCdPbaa6BrQ
27,MP_WXS_3595138845,浙江发改,https://mp.weixin.qq.com/s/9qwJsHse1zJpXMADyJmqqw
28,MP_WXS_3077848531,杭州发布,https://mp.weixin.qq.com/s/HmN0OXtuBlfykbvQkIW91A
29,MP_WXS_3874809808,智晓策,https://mp.weixin.qq.com/s/C3ELnAfCkh4hKr6dr8Fzbg
30,MP_WXS_3009003304,宁波发布,https://mp.weixin.qq.com/s/UOu08tD9wwaqlY19LR5LTg
31,MP_WXS_3297641833,宁波自然资源规划,https://mp.weixin.qq.com/s/TWdsTHCWk-n_YADb6S8ZqA
